m/z,I,S/N
347.08061,2.2045,39.84
347.08847,1.9167,34.59
347.0903,1.0437,18.67
347.09656,0.4503,7.84
347.09835,0.5098,8.93
347.10807,0.4352,7.57
347.11362,12.9684,236.19
347.117,1.6382,29.51
347.12485,3.3228,60.24
347.12669,0.5182,9.08
347.13297,0.5153,9.03
347.13475,0.7554,13.41
347.15,11.2869,205.52
347.16124,0.8803,15.68
347.18639,2.5156,45.52
348.07248,1.278,22.94
348.07585,0.4136,7.17
348.08059,0.5983,10.54
348.10887,4.1421,75.19
348.11698,2.3813,43.07
348.1201,0.9021,16.08
348.12822,0.5862,10.32
348.14525,2.2767,41.16
348.15336,2.2229,40.18
348.15649,0.5005,8.76
348.18975,0.4792,8.37
349.0565,1.2944,23.24
349.05987,0.4353,7.57
349.06774,0.7016,12.43
349.09289,11.4592,208.66
349.09626,1.3717,24.65
349.10412,4.0525,73.55
349.10596,0.3978,6.88
349.11223,0.8349,14.86
349.12928,20.8058,379.16
349.13263,0.5398,9.47
349.14051,2.6658,48.25
349.1486,0.468,8.16
349.16566,9.6568,175.79
349.20204,0.961,17.16
349.22926,0.6193,10.92
350.05985,0.4406,7.66
350.08814,3.8981,70.73
350.09625,1.9482,35.17
350.09939,0.3967,6.86
350.10749,0.6069,10.7
350.12453,5.7289,104.13
350.13263,4.2152,76.52
350.13576,0.794,14.11
350.14387,0.5314,9.32
350.16091,1.3698,24.61
350.16901,1.9058,34.39
350.31495,0.3883,6.71
350.31717,0.4142,7.18
350.38377,0.3891,6.72
350.42357,0.4461,7.76
350.42696,0.3954,6.84
350.42721,0.5411,9.5
350.42752,0.4837,8.45
350.43085,0.5699,10.02
350.4315,0.4177,7.25
350.43237,0.4531,7.89
350.43879,0.4379,7.61
350.44075,0.4773,8.33
350.44527,0.4951,8.66
350.4473,0.4087,7.08
350.45318,0.4381,7.62
350.45583,0.3894,6.73
350.45929,0.3906,6.75
350.46084,0.5379,9.44
350.46325,0.4494,7.82
350.4637,0.3801,6.56
350.47803,0.3906,6.75
350.4793,0.4053,7.02
350.47975,0.3782,6.52
350.48067,0.4751,8.29
350.48249,0.4118,7.14
350.48289,0.4201,7.29
350.4831,0.4122,7.15
350.48630000000003,0.4357,7.57
350.48882,0.4456,7.76
351.0544,0.3873,6.69
351.07216,6.1801,112.36
351.08339,1.837,33.14
351.0915,0.7098,12.57
351.10855,28.6105,521.53
351.10934,0.7456,13.23
351.10972,0.808,14.37
351.10989,0.7628,13.54
351.11026,0.5771,10.15
351.11192,0.6078,10.71
351.11977,6.0836,110.6
351.1238,0.4784,8.35
351.12788,1.2673,22.74
351.14493,24.4568,445.76
351.14543,0.3857,6.66
351.14958,0.4008,6.94
351.15617,1.4702,26.45
351.1602,0.4161,7.22
351.18131,5.048,91.71
351.19993,0.5983,10.54
352.0674,1.5353,27.63
352.07551,1.1841,21.23
352.08674,0.5014,8.77
352.10379,8.4621,153.99
352.11189,5.7988,105.41
352.11504,0.7684,13.64
352.12313,1.2047,21.6
352.14017,5.2047,94.57
352.14828,5.1395,93.38
352.17656,0.5392,9.46
352.18466,1.3259,23.81
353.05143,1.2957,23.26
353.06671,0.4011,6.94
353.07007,0.5651,9.94
353.08782,19.359,352.77
353.09905,3.3563,60.85
353.10307,0.7037,12.46
353.10646,0.6543,11.56
353.10716,1.5605,28.09
353.11229,0.389,6.72
353.11248,0.3976,6.88
353.11278,0.695,12.3
353.1143,0.4028,6.97
353.11527,0.6409,11.32
353.11617,0.4478,7.8
353.1195,0.574,10.1
353.11969,0.5282,9.26
353.12259,1.0915,19.54
353.12277,1.0861,19.44
353.12421,44.4785,811
353.13544,3.8982,70.74
353.13947,0.7886,14.01
353.14354,0.9833,17.56
353.14919,0.5483,9.63
353.16059,16.2551,296.15
353.17585,0.5255,9.21
353.19697,1.4076,25.3
353.21561,1.58,28.45
354.0653,0.3932,6.8
354.08306,4.0214,72.98
354.09117,3.2781,59.43
354.09836,0.4054,7.02
354.1024,0.6851,12.12
