m/z,I,S/N
350.47904,0.5891,9.15
350.47966,0.6659,10.37
350.4803,0.6027,9.36
350.48066,0.4961,7.66
350.48144,0.6208,9.65
350.48187,0.5103,7.88
350.48508,0.6609,10.29
350.48618,0.547,8.47
350.48863,0.5185,8.02
350.49111,0.5812,9.02
350.85094,0.5519,8.55
351.07216,2.7534,43.8
351.08339,4.6288,73.83
351.0915,0.6123,9.52
351.10273,0.478,7.37
351.10854,15.0625,240.91
351.11978,12.0983,193.44
351.1216,0.4761,7.34
351.12789,1.2029,18.97
351.13911,0.6458,10.05
351.14493,20.044,320.68
351.15617,3.0979,49.32
351.18132,5.1122,81.57
351.22107,5.8372,93.18
352.0674,1.3417,21.2
352.0755,0.8014,12.55
352.08675,0.8413,13.18
352.10379,6.3442,101.3
352.1119,2.7013,42.97
352.11503,3.7952,60.49
352.12313,2.1973,34.9
352.14018,4.9397,78.81
352.14828,3.9489,62.95
352.15141,1.6037,25.39
352.15951,0.5936,9.22
352.17656,0.8796,13.8
352.18467,1.0014,15.75
352.22443,1.1928,18.81
352.8489,1.0503,16.53
352.85822,1.1789,18.59
353.05146,0.9016,14.15
353.06267,0.5714,8.86
353.08783,9.2762,148.25
353.09907,9.0396,144.47
353.10717,1.1612,18.31
353.11841,0.7093,11.07
353.12422,21.8,348.8
353.13545,7.1076,113.53
353.13947,0.9953,15.65
353.14356,0.8239,12.9
353.15166,0.4653,7.16
353.16061,13.1935,210.98
353.17185,0.8278,12.97
353.17586,0.4752,7.32
353.17922,0.5934,9.21
353.19699,1.6059,25.43
353.20036,2.0214,32.08
354.04024,0.483,7.45
354.06842,0.4718,7.27
354.08308,3.6077,57.48
354.09118,1.5943,25.24
354.09432,0.7039,10.98
354.10242,1.4286,22.59
354.11946,6.0019,95.82
354.12757,3.8767,61.79
354.1307,1.486,23.51
354.13881,1.4053,22.22
354.15585,1.9052,30.22
354.16395,2.4337,38.68
354.20034,0.5336,8.26
354.84685,0.5485,8.49
355.0671,2.6365,41.93
355.07834,0.9088,14.27
355.08642,0.4757,7.33
355.09541,0.4812,7.42
355.09695,0.4892,7.55
355.10348,12.0712,193.01
355.11163,0.7206,11.25
355.11472,4.6008,73.39
355.11875,0.8083,12.65
355.12282,0.9195,14.44
355.13987,11.4118,182.45
355.1511,1.14,17.97
355.15512,1.9238,30.52
355.17626,2.948,46.92
355.19151,0.7788,12.18
356.09873,2.6201,41.67
356.10189,0.5137,7.94
356.10684,1.8753,29.74
356.11399,0.4961,7.66
356.11807,0.7032,10.97
356.12524,0.6974,10.88
356.13512,1.8669,29.61
356.14322,1.9004,30.14
356.16159,0.5534,8.57
356.17961,0.4572,7.03
356.7954,0.7872,12.32
356.81705,0.5367,8.31
357.08275,3.724,59.34
357.08592,0.6592,10.27
357.09399,0.7287,11.38
357.098,0.967,15.2
357.10138,0.4846,7.47
357.10923,0.761,11.9
357.11107,0.7875,12.32
357.11913,6.9595,111.16
357.13036,0.9748,15.32
357.13439,1.9712,31.28
357.14563,1.1315,17.83
357.15552,2.7551,43.83
357.17077,1.4034,22.18
357.20718,0.6756,10.53
358.0861,0.5103,7.88
358.09326,0.5518,8.55
358.10447,0.6901,10.76
358.11438,1.134,17.87
358.12248,1.2004,18.93
358.12963,0.8244,12.91
358.13777,0.4953,7.64
358.14087,1.3087,20.67
358.15888,0.5214,8.06
358.16601000000003,0.5047,7.79
358.17414,0.463,7.13
358.79336,0.7025,10.96
358.81501,0.9126,14.33
358.92991,0.6211,9.66
359.06201,0.6922,10.8
359.07726,0.6844,10.67
359.08063,0.7161,11.18
359.0885,1.0188,16.03
359.09033,0.756,11.82
359.09186,0.868,13.61
359.09839,2.8129,44.76
359.10156,0.8186,12.82
359.11365,3.5203,56.08
359.11701,0.4537,6.98
359.12489,2.6191,41.65
359.12671,1.0018,15.75
359.13478,2.2064,35.04
359.14426,0.4599,7.08
359.15003,5.074,80.96
359.16127,1.069,16.83
359.18642,1.935,30.7
359.22279,0.5018,7.75
360.0725,0.5294,8.19
360.08374,0.5874,9.12
360.10175,0.7315,11.43
360.1089,2.0462,32.48
360.11701,0.7975,12.48
360.12013,2.7639,43.97
360.13005,0.4637,7.14
360.13814,0.4694,7.23
360.14528,1.8182,28.83
360.15339,1.2087,19.07
360.15651,1.7721,28.09
360.18166,0.6534,10.17
360.18979,0.5423,8.4
360.23917,0.9099,14.28
360.81297,0.6688,10.42
360.89435,0.6073,9.44
361.05653,0.4875,7.52
361.05991,0.5101,7.88
361.06775,0.54,8.36
361.09049,0.4593,7.07
361.09291,3.8749,61.76
361.09628,0.881,13.82
361.10173,0.4902,7.56
361.10414,4.4825,71.49
361.10597,0.7126,11.12
361.11402,0.9516,14.95
361.11537,0.5584,8.65
361.1293,11.2364,179.64
361.14053,4.4631,71.18
361.14235,0.4852,7.48
361.14864,0.5235,8.09
361.16568,8.334,133.17
361.17691,0.9486,14.9
361.20207,1.9132,30.35
361.22319,7.8182,124.91
362.08816,1.8441,29.24
362.09627,0.5743,8.91
362.09939,2.6114,41.53
362.10751,0.7832,12.25
362.12454,3.8302,61.05
362.13264,2.2908,36.4
362.13578,4.4942,71.68
362.14388,1.1276,17.77
362.16093,2.2427,35.63
362.16903,1.8857,29.91
362.17216,0.9128,14.33
362.19733,0.5131,7.93
362.22655,1.5403,24.38
362.86963,0.5902,9.16
363.07218,2.1161,33.6
363.0834,2.9928,47.64
363.10856,12.2829,196.4
363.11193,0.4641,7.14
363.11979,9.2654,148.08
363.12788,0.6939,10.82
363.13102,0.8033,12.58
363.13914,0.6883,10.73
363.14495,18.8132,300.97
363.15618,3.6773,58.6
363.16428,0.5478,8.48
363.18133,6.8312,109.1
363.21771,0.6657,10.37
363.22109,0.6049,9.4
363.89452,0.4883,5.23
363.93415,0.4661,4.97
363.94495,0.5739,6.23
363.94876,0.6065,6.6
363.96013,0.4872,5.22
364.00918,0.4738,5.06
364.06743,1.1307,12.7
364.07553,0.5117,5.5
364.07867,0.5038,5.41
364.08677,0.668,7.32
364.10381,5.1605,59.51
364.11191,2.6995,30.92
364.11504,5.5237,63.73
364.12315,1.738,19.75
364.14019,5.0952,58.75
364.1483,3.9488,45.43
364.15143,2.6898,30.81
364.15954,0.7923,8.76
364.17658,1.3746,15.53
364.18468,1.641,18.62
364.50655,0.8381,9.3
364.918,2.6897,30.81
364.91827,2.9293,33.59
364.91849,3.1049,35.63
364.91878,0.8326,9.23
364.95959,0.4882,5.23
364.95993,0.4672,4.99
365.05145,0.698,7.67
365.06268,0.6631,7.26
365.08783,9.0117,104.25
365.09905,10.4163,120.56
365.10716,0.8635,9.59
365.11028,0.5061,5.44
365.11839,0.9371,10.45
365.12248,0.4513,4.8
365.1242,26.9287,312.39
365.12629,0.615,6.7
365.1265,0.6548,7.17
365.13544,9.3965,108.72
365.14354,0.9519,10.62
365.14667,0.5573,6.03
365.15166,0.5208,5.61
365.1548,0.8989,10
365.1606,18.9938,220.21
365.17183,1.2876,14.52
365.19698,3.1732,36.42
365.87841,0.6019,6.55
366.08307,3.9212,45.11
366.09118,1.6005,18.15
366.0943,1.6697,18.96
366.10241,1.9531,22.25
366.11945,7.6845,88.83
366.12756,5.2441,60.48
366.13069,4.4796,51.6
366.13879,1.7898,20.35
366.15584,3.7107,42.67
366.16395,4.1476,47.74
366.16706,0.8221,9.11
366.19223,0.6778,7.43
366.20033,0.7388,8.14
366.87387,0.6894,7.57
367.06709,3.5484,40.78
367.07832,2.5373,29.04
367.08641,0.9012,10.03
367.10164,0.4572,4.87
367.10347,20.0147,232.07
