m/z,I,S/N
346.75694,5.1641,64.32
346.77463,0.5413,6.26
346.79728,0.9033,10.81
346.83367,0.5995,6.99
347.04422,0.8409,10.02
347.06198,0.5503,6.37
347.07482,0.8475,10.11
347.07723,4.1035,51
347.0806,1.8811,23.09
347.08846,2.8683,35.49
347.09029,1.5497,18.93
347.09836,2.9128,36.05
347.09968,0.4917,5.64
347.11362,11.9431,149.47
347.11699,0.9956,11.97
347.12485,4.871,60.64
347.12667,0.9734,11.69
347.13474,1.7298,21.19
347.15,13.989,175.16
347.16123,1.3491,16.41
347.18638,4.1405,51.47
348.07248,1.7853,21.88
348.08371,0.725,8.57
348.10172,0.6757,7.95
348.10886,4.6554,57.93
348.11696,2.342,28.88
348.1201,2.6664,32.95
348.1282,0.9733,11.69
348.14525,3.0582,37.87
348.15335,2.6351,32.56
348.15647,1.1425,13.81
348.18163,0.9594,11.51
348.18975,0.8942,10.69
348.75489,1.3295,16.16
349.05408,0.5874,6.84
349.05649,2.4472,30.2
349.05986,0.8891,10.63
349.06772,1.0738,12.95
349.06956,0.5519,6.39
349.08734,0.6195,7.24
349.09047,0.5749,6.68
349.09288,12.746,159.55
349.09625,1.0531,12.69
349.10411,7.0633,88.18
349.10595,1.0347,12.46
349.11221,1.0115,12.17
349.11402,0.6705,7.88
349.12926,26.5045,332.36
349.1405,4.7322,58.9
349.16565,13.4228,168.05
349.20203,2.1677,26.69
349.22919,1.1884,14.39
350.05174,0.5796,6.74
350.08812,5.3734,66.95
350.09623,2.3401,28.85
350.09936,2.084,25.64
350.10746,1.2511,15.17
350.12451,6.8006,84.88
350.13262,4.7618,59.27
350.13574,2.341,28.86
350.14384,1.1638,14.08
350.1609,2.5732,31.78
350.16901,3.0557,37.84
350.41306,0.4988,5.73
350.43432,0.5013,5.76
350.44563,0.7266,8.59
350.44658,0.678,7.98
350.44736,0.8525,10.17
350.44823,0.5089,5.85
350.44898,0.5541,6.42
350.45001,0.5925,6.9
350.45449,0.5671,6.58
350.4549,0.66,7.75
350.45579,0.5063,5.82
350.461,0.5067,5.83
350.46987,0.7807,9.27
350.47009,0.643,7.54
350.47038,0.677,7.96
350.47908,0.5173,5.96
350.47951,0.5078,5.84
