m/z,I,S/N
330.1428,1.2277,9.53
330.82008,3.3053,25.83
331.00956,2.4205,18.89
331.03068,1.2651,9.82
331.04594,10.2515,80.31
331.04932,1.4063,10.93
331.05901,1.4389,11.19
331.06707,5.6776,44.43
331.08232,12.225,95.79
331.0857,1.5371,11.96
331.09356,1.4394,11.19
331.0954,1.7037,13.26
331.10346,4.6014,35.99
331.11871,10.5518,82.66
331.12208,1.4673,11.41
331.13984,1.1846,9.19
331.1551,5.3088,41.54
331.19148,1.307,10.15
331.32012,1.2898,10.02
332.04119,1.6135,12.56
332.0493,1.9825,15.45
332.07758,2.6542,20.72
332.08568,2.4718,19.29
332.11397,1.3982,10.87
332.12206,2.4131,18.83
332.15843,1.2984,10.08
332.77258,3.4156,26.69
332.81803,1.433,11.14
332.9404,1.5296,11.9
332.94325,1.2104,9.39
332.97438,1.4217,11.05
333.00118,1.2304,9.55
333.00233,1.8496,14.41
333.0252,7.4815,58.58
333.04045,2.5982,20.28
333.04511,1.2386,9.62
333.04633,1.7679,13.77
333.06159,17.7386,139.03
333.06496,1.9064,14.85
333.07281,1.4364,11.17
333.07466,1.3047,10.13
333.07685,1.9421,15.13
333.09797,19.086,149.6
333.10136,1.3844,10.76
333.10922,1.353,10.51
333.13436,14.8303,116.22
333.17075,4.3506,34.02
333.21049,2.3825,18.59
334.02856,1.3647,10.6
334.05684,3.0716,23.99
334.06495,3.7182,29.06
334.09322,2.9029,22.67
334.10133,3.4786,27.19
334.1296,1.3343,10.37
334.13772,3.1187,24.36
334.17407,1.2206,9.47
334.76963,2.3213,18.11
334.77054,5.8489,45.78
334.93838,4.5837,35.85
335.00447,1.3362,10.38
335.01973,1.299,10.09
335.04085,16.9804,133.08
335.05611,2.8177,22
335.07724,26.9305,211.12
335.08062,1.257,9.76
335.08847,1.5815,12.31
335.0925,2.5909,20.22
335.11363,29.4455,230.85
335.14291,4.0778,31.88
335.15001,14.9737,117.34
335.1864,2.8306,22.1
335.22615,1.9492,15.19
336.0361,1.7451,13.59
336.04422,2.7406,21.4
336.05137,1.2109,9.4
336.07249,4.1099,32.14
336.08059,5.4682,42.79
336.08773,1.3851,10.77
336.10888,2.1337,16.64
336.11697,6.0626,47.45
336.15337,2.9637,23.15
336.76759,4.6708,36.54
336.76848,3.3775,26.39
337.02012,6.2774,49.14
337.03537,3.2024,25.02
337.05651,26.0562,204.27
337.06771,1.5102,11.75
337.07177,3.9117,30.58
337.09289,41.5224,325.57
337.10413,1.4835,11.54
337.10815,2.2987,17.93
337.12928,32.8674,257.69
337.13996,1.311,10.18
337.16566,9.6336,75.46
338.02347,1.4212,11.05
338.05175,2.8831,22.51
