m/z,I,S/N
339.08336,2.5982,42.28
339.09147,0.6611,10.48
339.10851,9.1214,149.34
339.11975,7.2059,117.9
339.12786,0.6566,10.41
339.13501,0.4384,6.83
339.13909,0.4149,6.44
339.1449,7.3891,120.9
339.15613,1.1578,18.64
339.16015,3.2607,53.15
339.18128,1.6116,26.08
339.19991,1.4937,24.15
340.03865,0.5476,8.62
340.03884,0.5225,8.21
340.03922,0.5798,9.15
340.06738,0.9512,15.24
340.07548,0.5131,8.05
340.08671,0.5059,7.94
340.10376,3.7088,60.5
340.11186,1.5833,25.62
340.11499,1.1566,18.62
340.1231,1.3888,22.43
340.14014,1.8708,30.34
340.14825,1.481,23.94
340.15139,0.6702,10.63
340.16351,0.8784,14.05
340.18463,0.4698,7.34
340.82209,0.5605,8.83
340.88523,2.3299,37.87
341.0514,0.6483,10.27
341.08777,4.8377,79.03
341.09095,0.4808,7.52
341.09901,2.4453,39.77
341.10301,0.6574,10.42
341.10711,0.7074,11.24
341.11426,0.6106,9.65
341.12416,7.4903,122.57
341.13539,2.0718,33.64
341.13942,0.9232,14.78
341.14349,0.4052,6.28
341.15066,0.5008,7.85
341.16054,2.7019,43.98
341.1758,0.6067,9.59
342.08302,0.8559,13.68
342.09112,0.6687,10.61
342.10236,0.4304,6.7
342.10949,0.5055,7.93
342.11941,1.6394,26.54
342.12751,0.9801,15.72
342.13466,0.6001,9.48
342.13877,0.4146,6.44
342.14589,0.4904,7.68
342.16389,0.4444,6.93
342.761,1.2611,20.33
342.80136,0.6713,10.65
342.82005,0.638,10.1
342.83774,0.7092,11.27
342.88319,0.989,15.86
343.06704,1.2031,19.38
343.08229,0.5509,8.67
343.09353,0.4758,7.44
343.10343,3.4039,55.5
343.1066,0.4874,7.63
343.11467,0.725,11.53
343.11868,1.2727,20.52
343.12991,0.9415,15.08
343.13981,2.1688,35.23
343.15507,1.7616,28.55
343.17619,0.4227,6.57
343.19143,0.6585,10.44
343.21259,0.4077,6.32
344.08878,0.4846,7.59
344.09868,0.5952,9.4
344.10677,0.6098,9.64
344.11393,0.6884,10.93
344.12517,1.2227,19.7
344.13505,0.4153,6.45
344.14316,0.4532,7.07
344.15032,0.5978,9.44
344.16155,0.5495,8.65
344.75896,3.6011,58.73
344.79931,1.1812,19.02
344.81799,0.5575,8.78
344.83569,1.4672,23.71
345.06155,0.4581,7.15
345.06492,0.4276,6.65
345.07461,0.4264,6.63
345.0827,1.0916,17.55
345.09795,1.7334,28.08
345.10132,0.4218,6.56
345.10918,1.8713,30.35
345.11907,1.4761,23.86
345.13433,3.4857,56.84
345.14557,1.5365,24.85
345.15545,0.5931,9.37
345.17072,2.3044,37.45
345.20708,0.5327,8.37
345.61276,0.404,6.26
345.7623,0.4541,7.08
346.09319,1.0127,16.25
346.10131,0.4191,6.51
346.10443,1.686,27.3
346.11253,0.5881,9.28
346.12957,1.6147,26.13
346.13768,0.8408,13.43
346.14081,2.5525,41.52
346.15147,0.4079,6.33
346.16596,0.7271,11.57
346.17407,0.5135,8.06
346.1772,0.4173,6.48
346.75691,4.195,68.48
346.7746,0.6221,9.84
346.79635,0.5181,8.14
346.79726,0.7264,11.55
346.83274,0.6594,10.45
346.83364,0.8829,14.12
347.07721,1.5848,25.64
347.08058,0.4418,6.88
347.08844,2.4195,39.34
347.09834,0.6441,10.2
347.11359,5.9876,97.9
347.12483,5.2604,85.97
347.13292,0.4948,7.75
347.13606,0.5002,7.84
347.14417,0.5435,8.55
347.14998,7.6859,125.78
347.16121,1.6183,26.19
347.18636,2.2783,37.02
348.07244,0.7053,11.21
348.08369,0.9229,14.78
348.09179,0.5306,8.34
348.10884,3.1639,51.56
348.11695,1.2518,20.18
348.12007,4.0983,66.89
348.12817,0.9162,14.67
348.14523,2.5861,42.08
348.15333,1.416,22.87
348.15646,1.7427,28.23
348.18163,0.5833,9.2
348.18972,0.4582,7.15
348.75487,1.2444,20.06
348.77257,0.7124,11.32
349.05648,0.4151,6.45
349.06771,0.9153,14.65
349.09286,4.5753,74.72
349.10409,7.1394,116.81
349.1122,0.5357,8.42
349.11535,0.5416,8.52
349.12342,0.6995,11.11
349.12924,11.3978,186.7
349.14048,5.1974,84.93
349.14858,0.4624,7.22
