m/z,I,S/N
363.08339,3.2947,53.97
363.10612,0.4895,7.62
363.10656,0.4675,7.26
363.10678,0.4176,6.44
363.10854,11.1115,183.11
363.11977,10.0162,165.02
363.12788,0.8116,12.95
363.131,0.6451,10.2
363.13911,0.7273,11.55
363.14493,13.8128,227.74
363.15616,3.6717,60.2
363.18132,4.6937,77.08
363.2177,0.4657,7.23
363.22741,0.5234,8.18
363.22988,0.6403,10.12
364.0674,1.2478,20.15
364.07549,0.5075,7.92
364.07862,0.5305,8.3
364.08674,0.5265,8.24
364.10379,5.4188,89.06
364.1119,2.102,34.26
364.11503,6.1997,101.96
364.12313,1.9561,31.85
364.14018,4.9729,81.7
364.14828,3.045,49.84
364.15141,3.0415,49.79
364.15951,0.7492,11.92
364.17656,1.3367,21.62
364.18467,1.0751,17.3
364.50815,0.4826,7.51
364.8782,0.4359,6.74
364.91909,1.2359,19.96
364.91952,1.7183,27.93
364.91972,1.6942,27.53
364.91996,0.9977,16.02
365.05143,0.9108,14.58
365.06265,0.7152,11.35
365.0878,8.5899,141.45
365.09904,11.6292,191.67
365.10715,1.0786,17.36
365.10889,0.4059,6.24
