"M_cal";"MF";"C";"H";"N";"O";"P";"S";"O/C";"H/C";"N/C";"S/C";"DBE";"AI";"NOSC";"n_occurrence";"BottomWater";"NPEqIW";"SRNOM";"U1382A";"U1383C_Deep";"U1383C_Middle";"U1383C_Shallow"
420.21480336835;"C23H32O7";23;32;0;7;0;0;0.304;1.391;0;0;8;0.1;-0.78;6;6.89465;0;5.62602;6.18923;4.27219;4.79404;6.56886
421.1008958125;"C19H19NO10";19;19;1;10;0;0;0.526;1;0.0526;0;11;0;0.21;3;0;0;0;4.64075;5.33993;4.45093;0
421.13728132185;"C20H23NO9";20;23;1;9;0;0;0.45;1.15;0.05;0;10;0;-0.1;6;7.44734;7.12719;0;8.93634;9.26407;8.12608;7.60271
421.1736668312;"C21H27NO8";21;27;1;8;0;0;0.381;1.286;0.0476;0;9;0;-0.38;5;4.8221;0;0;5.21187;5.10105;4.90122;4.25165
422.04852588606;"C18H14O12";18;14;0;12;0;0;0.667;0.778;0;0;12;0;0.56;1;0;0;26.57857;0;0;0;0
422.06378202735;"C22H14O9";22;14;0;9;0;0;0.409;0.636;0;0;16;0.5;0.18;1;0;0;4.39273;0;0;0;0
422.08491139541;"C19H18O11";19;18;0;11;0;0;0.579;0.947;0;0;11;0;0.21;7;10.52524;6.31912;38.81502;9.75242;10.92844;9.14532;11.93226
422.0961447847;"C18H18N2O10";18;18;2;10;0;0;0.556;1;0.1111;0;11;-0.2;0.44;4;4.62784;0;0;5.25856;6.30973;5.40099;0
422.12129690476;"C20H22O10";20;22;0;10;0;0;0.5;1.1;0;0;10;0;-0.1;7;37.6177;35.83743;45.11627;40.18053;39.87275;37.04543;44.12996
422.13253029405;"C19H22N2O9";19;22;2;9;0;0;0.474;1.158;0.1053;0;10;-0.1;0.11;6;11.79779;8.26966;0;15.65819;18.39967;15.15;10.78891
422.15768241411;"C21H26O9";21;26;0;9;0;0;0.429;1.238;0;0;9;0;-0.38;7;51.25781;44.92861;41.65598;51.95147;44.0759;45.12342;56.01562
422.1689158034;"C20H26N2O8";20;26;2;8;0;0;0.4;1.3;0.1;0;9;-0.1;-0.2;6;6.01631;5.37593;0;7.86209;8.48515;7.87867;5.22935
422.19406792346;"C22H30O8";22;30;0;8;0;0;0.364;1.364;0;0;8;0;-0.64;7;26.05374;18.00391;15.60123;23.23882;17.62084;18.43335;25.29118
422.23045343281;"C23H34O7";23;34;0;7;0;0;0.304;1.478;0;0;7;0;-0.87;1;4.58498;0;0;0;0;0;0
423.11654587696;"C19H21NO10";19;21;1;10;0;0;0.526;1.105;0.0526;0;10;-0.1;0.11;6;11.54158;9.01675;0;11.72195;13.29575;11.84686;10.9643
423.15293138631;"C20H25NO9";20;25;1;9;0;0;0.45;1.25;0.05;0;9;-0.1;-0.2;6;11.55467;10.78814;0;12.0817;12.56717;11.61914;10.51584
423.18931689566;"C21H29NO8";21;29;1;8;0;0;0.381;1.381;0.0476;0;8;-0.1;-0.48;2;4.21755;0;0;0;4.08652;0;0
424.02779044117;"C17H12O13";17;12;0;13;0;0;0.765;0.706;0;0;12;-0.2;0.82;1;0;0;7.85379;0;0;0;0
424.04304658246;"C21H12O10";21;12;0;10;0;0;0.476;0.571;0;0;16;0.5;0.38;1;0;0;5.99712;0;0;0;0
424.06417595052;"C18H16O12";18;16;0;12;0;0;0.667;0.889;0;0;11;-0.2;0.44;4;5.54756;0;37.24936;0;5.11004;0;5.87198
424.07943209181;"C22H16O9";22;16;0;9;0;0;0.409;0.727;0;0;15;0.5;0.09;1;0;0;7.13687;0;0;0;0
424.10056145987;"C19H20O11";19;20;0;11;0;0;0.579;1.053;0;0;10;-0.1;0.11;7;37.19422;24.28088;52.05305;35.99692;37.07865;33.91904;41.67979
424.11179484916;"C18H20N2O10";18;20;2;10;0;0;0.556;1.111;0.1111;0;10;-0.3;0.33;5;11.04845;0;0;13.58418;16.52869;13.03443;10.04353
424.11581760116;"C23H20O8";23;20;0;8;0;0;0.348;0.87;0;0;14;0.4;-0.17;1;0;0;4.59589;0;0;0;0
424.13694696922;"C20H24O10";20;24;0;10;0;0;0.5;1.2;0;0;9;-0.1;-0.2;7;81.41069;78.41675;59.43028;75.57344;76.21945;67.27992;86.35758
424.14818035851;"C19H24N2O9";19;24;2;9;0;0;0.474;1.263;0.1053;0;9;-0.2;0;6;12.39294;9.35782;0;15.05408;16.22813;14.96533;10.4592
424.17333247857;"C21H28O9";21;28;0;9;0;0;0.429;1.333;0;0;8;-0.1;-0.48;7;63.42272;53.73672;34.94523;54.80467;46.60713;49.14613;63.96344
424.20971798792;"C22H32O8";22;32;0;8;0;0;0.364;1.455;0;0;7;-0.1;-0.73;7;18.3452;11.53613;7.57765;13.81185;10.94386;11.49049;16.23469
425.09581043207;"C18H19NO11";18;19;1;11;0;0;0.611;1.056;0.0556;0;10;-0.3;0.33;6;9.93378;0;6.20071;8.96784;9.96242;8.73887;9.16898
425.13219594142;"C19H23NO10";19;23;1;10;0;0;0.526;1.211;0.0526;0;9;-0.2;0;6;16.96633;14.87713;0;15.93615;17.34418;15.9052;15.28988
425.16858145077;"C20H27NO9";20;27;1;9;0;0;0.45;1.35;0.05;0;8;-0.2;-0.3;6;9.62551;9.23775;0;9.04322;9.3183;8.803;8.09896
426.04344050563;"C17H14O13";17;14;0;13;0;0;0.765;0.824;0;0;11;-0.5;0.71;1;0;0;17.87057;0;0;0;0
426.05869664692;"C21H14O10";21;14;0;10;0;0;0.476;0.667;0;0;15;0.5;0.29;1;0;0;10.19478;0;0;0;0
426.07982601498;"C18H18O12";18;18;0;12;0;0;0.667;1;0;0;10;-0.3;0.33;7;19.8129;6.61365;46.54069;15.44792;17.48471;15.40662;19.51162
426.09508215627;"C22H18O9";22;18;0;9;0;0;0.409;0.818;0;0;14;0.4;0;1;0;0;9.71965;0;0;0;0
426.11621152433;"C19H22O11";19;22;0;11;0;0;0.579;1.158;0;0;9;-0.2;0;7;73.79218;53.83178;57.4874;62.4166;65.62058;58.99737;76.22024
426.12744491362;"C18H22N2O10";18;22;2;10;0;0;0.556;1.222;0.1111;0;9;-0.5;0.22;6;11.71725;6.05627;0;12.38695;14.28179;12.32258;9.39813
426.13146766562;"C23H22O8";23;22;0;8;0;0;0.348;0.957;0;0;13;0.3;-0.26;1;0;0;7.59155;0;0;0;0
426.15259703368;"C20H26O10";20;26;0;10;0;0;0.5;1.3;0;0;8;-0.2;-0.3;7;95.48397;88.51907;49.21537;74.23473;70.1343;69.52077;90.89541
