

Dataset: BottomWater.csv

Pre-alignment:

Start ppm error: 2.50000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
1033.80293000,-0.30485888677193,0.292402784387524,-0.01277790,0.09640921,617
1107.34765000,-0.385195007576242,0.352878534655177,-0.01610585,0.12304930,675
Calibration: 


Calibration failed; using uncalibrated masses



Dataset: NPEqIW.csv

Pre-alignment:

Start ppm error: 2.50000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
282.09284500,-0.0855565187481064,0.0513339112488638,-0.01020455,0.02731025,622
325.08232500,-0.0797421976694822,0.0962350968025047,0.00760919,0.02877332,724
344.61653000,-0.0448311381741333,0.0742167238556683,0.01560486,0.02634815,631
358.59580000,-0.0712529388695108,0.0427517633217065,-0.01512129,0.02592102,616
370.11403000,-0.0411802724674547,0.0681675080018398,0.01384151,0.02215706,600
380.13275500,-0.104969873567551,0.104901677352041,0.00526161,0.03080864,596
389.13046500,-0.0861922927342396,0.0739750587098029,-0.00604134,0.02754000,589
397.13615000,-0.0636789222007819,0.0382073533204691,-0.01180037,0.02092579,569
405.13086500,-0.0822868410269121,0.0704047853787564,-0.00579365,0.02550165,602
413.12347000,-0.0883868986684148,0.0530321392010489,-0.01165616,0.02494300,605
421.09380500,-0.0954301115329883,0.0950086038608346,0.00086662,0.03365650,609
428.08728000,-0.0971704815633823,0.133225703337087,0.02440651,0.03643432,581
434.10156000,-0.118629775406359,0.108119518946586,-0.00024536,0.03649427,595
439.62988000,-0.197735147709258,0.147817567691022,-0.01863824,0.04550809,536
445.13832000,-0.112823954213638,0.0676943725281828,-0.01927381,0.03227485,627
451.12371000,-0.121707976673375,0.143739229523454,0.01250572,0.03715691,583
456.63744500,-0.105169185828424,0.116689852591657,0.00596631,0.03306660,614
462.14271000,-0.119055799584198,0.140603447377983,0.01208627,0.03803005,616
467.62363000,-0.13927058650898,0.117956808747144,0.00042610,0.03928334,554
472.64818000,-0.129818333042486,0.0778909998254918,-0.01900057,0.03583499,632
478.11820500,-0.156977443892581,0.0939720868609637,-0.02881957,0.03715770,573
483.09698000,-0.158102268463031,0.127631112543449,-0.01327507,0.04130588,569
