m/z,I,S/N,Res.
331.04594,10.2515,80.31,2329146
331.04932,1.4063,10.93,2218628
331.05901,1.4389,11.19,1936238
331.06707,5.6776,44.43,2315962
331.08232,12.225,95.79,2356198
331.0857,1.5371,11.96,2235960
331.09356,1.4394,11.19,2178335
331.0954,1.7037,13.26,2467057
331.10346,4.6014,35.99,2417814
331.11871,10.5518,82.66,2305311
331.12208,1.4673,11.41,2277814
331.13984,1.1846,9.19,2738934
331.1551,5.3088,41.54,2403130
331.19148,1.307,10.15,2340210
331.32012,1.2898,10.02,2171235
332.04119,1.6135,12.56,2735988
332.0493,1.9825,15.45,2307196
332.07758,2.6542,20.72,2053831
332.08568,2.4718,19.29,2242703
332.11397,1.3982,10.87,1960219
332.12206,2.4131,18.83,2438999
332.15843,1.2984,10.08,2157843
332.77258,3.4156,26.69,2434137
332.81803,1.433,11.14,2428757
332.9404,1.5296,11.9,2655123
332.94325,1.2104,9.39,2567651
332.97438,1.4217,11.05,63527333
333.00118,1.2304,9.55,2364909
333.00233,1.8496,14.41,1533499
333.0252,7.4815,58.58,2241912
333.04045,2.5982,20.28,2006651
333.04511,1.2386,9.62,1484936
333.04633,1.7679,13.77,2593086
333.06159,17.7386,139.03,2268950
333.06496,1.9064,14.85,2212146
333.07281,1.4364,11.17,2162514
333.07466,1.3047,10.13,1743909
333.07685,1.9421,15.13,2388448
333.09797,19.086,149.6,2363136
333.10136,1.3844,10.76,1837052
333.10922,1.353,10.51,2316767
333.13436,14.8303,116.22,2340807
333.17075,4.3506,34.02,2434294
333.21049,2.3825,18.59,2266391
334.02856,1.3647,10.6,2272644
334.05684,3.0716,23.99,2356084
334.06495,3.7182,29.06,2355325
334.09322,2.9029,22.67,2354697
334.10133,3.4786,27.19,2580795
334.1296,1.3343,10.37,2342632
334.13772,3.1187,24.36,2435594
334.17407,1.2206,9.47,1581584
334.76963,2.3213,18.11,2428219
334.77054,5.8489,45.78,2466182
334.93838,4.5837,35.85,2313913
335.00447,1.3362,10.38,2494246
335.01973,1.299,10.09,2398711
335.04085,16.9804,133.08,2296649
335.05611,2.8177,22,1889511
335.07724,26.9305,211.12,2344239
335.08062,1.257,9.76,2254825
335.08847,1.5815,12.31,2355379
335.0925,2.5909,20.22,2196170
335.11363,29.4455,230.85,2251858
335.14291,4.0778,31.88,2351860
335.15001,14.9737,117.34,2278907
335.1864,2.8306,22.1,2130325
335.22615,1.9492,15.19,2250164
336.0361,1.7451,13.59,2353576
336.04422,2.7406,21.4,2237988
336.05137,1.2109,9.4,1803274
336.07249,4.1099,32.14,2357318
336.08059,5.4682,42.79,2124494
336.08773,1.3851,10.77,1047906
336.10888,2.1337,16.64,2274767
336.11697,6.0626,47.45,2169119
336.15337,2.9637,23.15,2295436
336.76759,4.6708,36.54,2438617
336.76848,3.3775,26.39,2476094
337.02012,6.2774,49.14,2317086
337.03537,3.2024,25.02,2343839
337.05651,26.0562,204.27,2320172
337.06771,1.5102,11.75,1665270
337.07177,3.9117,30.58,2208265
337.09289,41.5224,325.57,2334157
337.10413,1.4835,11.54,1988004
337.10815,2.2987,17.93,2238956
337.12928,32.8674,257.69,2247872
337.13996,1.311,10.18,1935153
337.16566,9.6336,75.46,2296974
338.02347,1.4212,11.05,2187520
338.05175,2.8831,22.51,2077722
338.05986,4.2788,33.46,2334474
338.06702,1.3801,10.73,2087576
338.08814,3.5851,28.02,2398458
338.09625,7.3459,57.52,2219571
338.12452,1.7443,13.58,2330750
338.13263,6.5129,50.98,2218339
338.16901,1.9121,14.9,2243560
338.76555,2.5597,19.98,2195938
338.8873,6.2619,49.01,2273440
339.01464,2.3259,18.14,2291826
339.03577,15.7841,123.7,2301652
339.05102,6.1971,48.51,2293237
339.06408,1.2391,9.62,1822330
339.07216,42.1766,330.7,2329686
339.08337,1.208,9.38,2352133
339.08741,5.437,42.55,2267227
339.10854,53.8223,422.04,2326543
339.12379,3.7851,29.59,2092302
339.14493,20.9919,164.55,2218539
339.16018,9.1219,71.45,2259292
339.18131,2.3402,18.26,2290988
339.19994,1.9711,15.36,2003372
340.03911,3.3891,26.48,2038262
340.04626,1.585,12.33,2162409
340.05436,1.2185,9.46,2197530
340.0674,3.0635,23.93,2236159
340.07551,7.1971,56.35,2328936
340.10379,2.8191,22.01,2301895
340.1119,9.6052,75.24,2219918
340.14828,4.3774,34.23,2331557
340.16353,2.4114,18.81,2017421
340.82212,1.4195,11.04,2459122
340.88526,11.5075,90.16,2334844
340.9939,1.4361,11.17,2294845
341.01503,3.0262,23.64,2062172
341.03029,5.8511,45.79,2321183
341.03366,1.6996,13.23,2156559
341.04336,1.3684,10.63,1827747
341.05142,26.339,206.48,2332987
341.06668,8.7312,68.38,2278063
341.07005,1.6256,12.65,1991759
341.07975,1.4777,11.49,1719593
