m/z,I,S/N,Res.
327.19655,0.4475,11.26,2656094
328.10377,0.9311,23.53,2247178
328.11187,0.7886,19.91,1877049
328.13026,0.6466,16.31,2115682
328.14825,0.5198,13.09,2434227
328.8044,1.5367,38.9,2362631
328.82209,0.8272,20.89,2253367
329.08779,1.5027,38.03,2165986
329.10303,0.9463,23.92,2468664
329.11427,0.8932,22.57,2575564
329.12416,1.6154,40.89,2422106
329.13943,1.562,39.54,2319370
329.15066,0.626,15.79,2142083
329.1758,0.8429,21.29,2608910
329.21215,0.4161,10.46,1855177
329.65728,0.6121,15.44,2269932
330.09829,0.4948,12.46,2576399
330.10952,0.7223,18.23,2622166
330.13466,0.5207,13.12,2586300
330.14591,0.56,14.11,2386714
330.80145,0.5544,13.97,2491846
330.80235,0.7202,18.18,2574872
330.82004,1.5518,39.28,2254892
331.0823,0.7452,18.81,2193346
331.09353,1.0105,25.55,2309847
331.10342,0.7526,19,2360392
331.11869,2.0694,52.41,2236002
331.12993,1.5051,38.09,2349817
331.13982,0.4696,11.82,2343170
331.15507,2.1922,55.53,2337077
331.16631,0.4598,11.57,2716734
331.19145,0.6272,15.82,2185611
331.31145,0.5589,14.09,1632172
331.65523,0.6941,17.52,2369803
332.07755,0.444,11.17,2239879
332.08878,0.5039,12.69,2362918
332.11394,1.1111,28.1,2180047
332.12204,0.4136,10.4,2655850
332.12517,2.0729,52.5,2344035
332.15032,0.9143,23.1,2121690
332.15843,0.5295,13.34,1423704
332.77256,1.8906,30.66,2424021
332.8171,0.5838,9.21,2556248
332.818,1.0138,16.27,2349775
332.95519,0.414,6.43,1324145
332.96756,0.4143,6.43,958435
332.96805,0.4107,6.37,1779497
332.96835,0.5542,8.73,1453790
332.97123,0.4563,7.12,2847958
332.9725,0.5714,9.01,1565636
332.97487,0.434,6.76,2442842
332.97899,0.4827,7.55,954673
332.97956,0.5326,8.37,1466371
332.98749,0.5533,8.71,1969358
332.98859,0.5245,8.24,1957784
332.99153,0.4501,7.02,2628449
332.9921,0.518,8.13,2110139
332.99259,0.4155,6.45,1112234
332.9931,0.7126,11.33,1189461
333.00288,0.4155,6.45,1545520
333.07281,0.6548,10.38,2149801
333.09795,2.3399,38.04,2292465
333.10919,3.9195,63.96,2334616
333.12851,0.4753,7.43,2069845
333.13434,5.1796,84.64,2322882
333.14557,2.2021,35.77,2222148
333.17072,2.7614,44.95,2427263
333.2071,0.6059,9.58,1702860
333.6523,0.4268,6.64,2149756
333.65318,0.4931,7.73,1809949
334.0932,1.5678,25.36,2297048
334.1013,0.5977,9.44,2445024
334.10443,2.1088,34.24,2347820
334.11254,0.6536,10.36,2405648
334.12959,2.077,33.72,2326790
334.13769,0.9918,15.91,2550995
334.14082,2.3212,37.73,2278536
334.14892,0.5278,8.29,2465617
334.16598,0.8364,13.36,2058653
334.17408,0.6945,11.03,2284359
334.76961,1.3715,22.14,2595433
334.77051,3.8438,62.72,2457482
334.81504,0.4093,6.35,1516948
335.07721,1.6572,26.83,2280691
335.08844,3.5705,58.23,2385439
335.1078,0.4315,6.71,2306285
335.1136,5.9425,97.16,2328997
335.12483,6.5279,106.77,2345697
335.13296,0.5924,9.35,2152978
335.14999,6.6997,109.59,2303973
335.16122,1.2961,20.9,2332243
335.18637,1.7409,28.21,2231910
336.07247,1.2131,19.54,2292022
336.0837,0.9272,14.85,2475762
336.0918,0.5822,9.19,2309863
336.10885,3.3589,54.76,2320102
336.11695,1.0344,16.61,2220548
336.12008,3.5701,58.23,2378867
336.12818,1.1461,18.44,2252339
336.14523,2.1045,34.17,2345794
336.15334,1.4439,23.33,2302751
