m/z,I,S/N,Res.
327.07216,3.3052,56.2,2399806
327.08339,0.936,15.76,2138447
327.08741,0.661,11.06,2145571
327.09077,0.5947,9.93,2111768
327.10854,11.0284,188.04,2421034
327.11978,1.8689,31.68,2340955
327.12379,1.1964,20.2,2330139
327.12788,0.516,8.59,2526280
327.13503,0.5993,10.01,1912863
327.14493,5.5896,95.2,2277561
327.16019,1.0255,17.28,2371587
327.18131,0.6347,10.61,2315643
327.19656,0.519,8.64,2638675
328.0674,0.4923,8.18,2408597
328.07551,0.5411,9.02,2359374
328.10379,1.976,33.51,2482070
328.1119,1.8921,32.08,2592226
328.11906,0.5157,8.58,1790560
328.14017,0.7244,12.14,2027361
328.14828,1.2431,21,2303188
328.76408,0.6211,10.38,2492184
328.80442,0.838,14.08,2084657
328.82212,1.0591,17.86,2185706
328.84081,0.4241,7.02,2330306
328.89885,0.6507,10.89,2430665
329.0514,0.4556,7.56,2051820
329.06668,0.591,9.87,2396522
329.07004,0.5722,9.55,1828005
329.07789,0.4476,7.42,1826656
329.08781,3.5625,60.59,2463912
329.10306,1.5415,26.09,2310293
329.10642,0.5987,10,2401406
329.1143,0.8404,14.12,2103070
329.12419,4.5528,77.5,2357402
329.13945,2.3675,40.19,2388354
329.15067,0.556,9.27,2076297
329.16058,0.9639,16.23,2155448
329.17583,1.28,21.63,2512714
330.08305,0.5553,9.26,1988335
330.09117,0.5112,8.51,2210680
330.09832,0.7172,12.02,2290943
330.10953,0.4852,8.06,2356063
330.12754,0.6828,11.43,2396195
330.13469,0.6782,11.36,2178599
330.76204,0.4502,7.46,2395843
330.82008,1.7662,29.93,2341376
330.89591,0.5285,8.8,1767020
330.89681,0.6526,10.92,2039971
331.06708,0.7037,11.79,2077148
331.08233,1.445,24.45,2235323
331.08568,0.595,9.94,1881071
331.09356,1.2074,20.39,2423244
331.09539,0.5977,9.98,1735019
331.10345,1.5978,27.06,2320977
331.11871,4.1101,69.94,2300439
331.12995,1.2783,21.6,2107721
331.13985,0.6622,11.08,2670802
331.1551,3.825,65.07,2326767
331.19149,1.0122,17.06,2224315
331.85365,0.5582,9.31,1888905
332.07757,0.7846,13.17,2039453
332.11396,1.8022,30.54,2027838
332.12207,1.0702,18.05,2285526
332.12519,1.2966,21.91,2369896
332.15034000000003,1.0729,18.09,2121947
332.15845,0.9712,16.36,2121309
332.77258,1.4946,25.29,2328893
332.81713,0.7397,12.41,2149730
332.81804,0.9602,16.17,2317229
332.89388,0.4805,7.98,1835456
332.90102,0.4146,6.86,1682499
332.91708,0.4515,7.49,2177187
332.93194,0.5394,8.99,1293638
332.93664,0.4216,6.98,1737760
332.9371,0.4157,6.88,2815957
332.94165,0.4199,6.95,2730203
332.94552,0.5014,8.34,1249633
332.95406,0.5501,9.17,48514543
332.95426,0.5139,8.55,822416
332.95534,0.4571,7.58,2617648
332.95858,0.4405,7.3,810290
332.99443,0.4242,7.02,1401826
333.02252,0.4191,6.93,1079244
333.06159,1.1103,18.73,2248523
333.07282,0.9062,15.25,2137577
333.09797,5.7783,98.42,2400315
333.10134,0.4939,8.21,2082323
333.10921,3.7253,63.37,2445130
333.13436,11.2596,191.99,2350923
333.14559,1.5906,26.93,2324398
333.17075,4.859,82.73,2303071
333.20713,0.9381,15.79,2141204
334.05684,0.4362,7.22,2846854
334.09322,2.8272,48.04,2376193
334.10134,1.2214,20.63,2148337
334.10446,1.3539,22.89,2287416
334.11255,0.6276,10.49,2122244
334.12961,2.9374,49.92,2385793
334.13772,2.2506,38.2,2330919
334.14083,1.3512,22.84,2289232
334.16599,0.8201,13.78,2382095
334.17411,1.0818,18.25,1975394
334.76964,1.1207,18.91,2425746
334.77054,3.0676,52.15,2286546
334.93839,2.4022,40.79,2360545
335.07724,4.8854,83.18,2365663
335.08061,0.53,8.83,2190183
335.08847,3.7801,64.31,2340922
335.09658,0.5244,8.73,2276532
335.11362,17.4393,297.48,2340664
335.12486,5.9452,101.27,2283141
335.15001,15.4719,263.9,2275349
335.16125,1.0516,17.73,2049822
335.1864,3.241,55.11,2256676
335.93797,0.6151,10.28,2229961
336.071,0.4531,7.51,1581071
336.07249,2.2782,38.67,2308262
336.0806,0.7504,12.59,2201314
336.08373,0.5129,8.53,2569705
336.09184,0.7455,12.51,2206867
336.10887,5.4557,92.91,2365689
336.11698,3.2182,54.72,2290767
336.1201,2.0997,35.62,2390338
336.12821,1.0297,17.36,2653894
336.14527,2.9014,49.31,2252398
336.15337,3.1368,53.33,2312105
