m/z,I,S/N,Res.
334.13771,2.0969,37.88,2202705
334.14084,0.5651,9.93,2115929
334.16599,0.4044,7,2342355
334.1741,0.8032,14.28,1914908
335.04084,0.4053,7.02,2083546
335.07724,4.9718,90.32,2301705
335.08061,0.8547,15.22,2189189
335.08847,2.209,39.92,2294211
335.09657,0.4469,7.78,2568851
335.11363,16.058,292.55,2334179
335.12486,4.0756,73.97,2341034
335.13297,0.6172,10.88,2104183
335.15001,11.7142,213.32,2357400
335.1864,1.7057,30.74,2256083
336.07248,1.8961,34.21,2399171
336.08059,0.8803,15.68,2201694
336.10888,5.1716,93.97,2271069
336.11698,2.9093,52.7,2281591
336.12011,0.8535,15.2,2417654
336.12822,0.7986,14.19,2064462
336.14526,1.9756,35.67,2209885
336.15337,2.283,41.27,2348251
336.23272,0.4062,7.04,1599867
337.0565,1.6241,29.25,2363161
337.06774,0.4313,7.49,2402863
337.09092,0.4104,7.11,537627
337.09289,15.0806,274.73,2324629
337.10413,4.3083,78.22,2337798
337.11224,1.0002,17.87,2166127
337.12761,0.7324,12.99,35030
337.12788,0.6588,11.64,363558
337.12928,21.5822,393.33,2254363
337.14052,2.5189,45.58,2223858
337.15428000000003,0.3943,6.82,1305252
337.15487,0.3896,6.73,865942
337.15521,0.4068,7.05,1045458
337.16566,6.9834,127.02,2304296
337.20205,0.6819,12.07,2162351
338.08814,4.9971,90.78,2321335
338.09625,2.6956,48.8,2236037
338.09936,0.4989,8.73,2289099
338.10747,0.7001,12.4,2620051
338.12452,5.9142,107.51,2331758
338.13263,4.2889,77.86,2234068
338.13576,0.4728,8.25,2580062
338.14386,0.4462,7.77,2561166
338.16091,1.0211,18.25,2058135
338.16901,1.5299,27.53,2158208
339.07215,6.4865,117.95,2356121
339.08339,1.0909,19.53,2286354
339.0874,0.5217,9.14,1798741
339.09078,0.6516,11.51,2197219
339.09149,0.801,14.24,2347622
339.10854,28.8398,525.72,2320526
339.10975,0.3791,6.54,537385
339.11977,4.0932,74.29,2342574
339.1238,0.9956,17.79,2294910
339.12788,1.1425,20.47,2279977
339.13352,0.4901,8.57,2800121
339.14493,17.6927,322.37,2270005
339.15615,0.7816,13.88,2378715
339.16018,0.5424,9.52,2640121
339.18131,2.4159,43.7,2356724
339.19994,2.6635,48.21,2252849
340.03908,0.4028,6.97,1616098
340.0674,1.0246,18.32,2037278
340.07551,1.0637,19.03,2324347
340.10379,6.5671,119.42,2335269
340.1119,5.2507,95.41,2326267
340.12312,0.744,13.2,2069924
340.14018,3.0957,56.1,2220277
340.14828,3.3817,61.31,2246313
340.18467,0.5368,9.42,2512766
340.2033,0.4833,8.44,2262662
341.05142,0.9731,17.38,2321746
341.06667,0.5048,8.83,2372817
341.07004,1.0134,18.11,2196889
341.0779,0.3861,6.67,1704979
341.0878,12.8849,234.67,2329362
341.09903,1.0675,19.1,2365346
341.10306,1.5426,27.77,2233197
341.10643,0.7522,13.35,2313044
341.10714,1.13,20.24,2137618
341.11279,0.5734,10.09,2171896
341.11429,0.573,10.08,2485474
341.12418,22.74,414.45,2309062
341.13543,1.0175,18.19,2287420
341.13944,1.8588,33.53,2330258
341.14352,0.6422,11.34,1980458
341.15066,0.5066,8.87,1218731
341.15161,0.4011,6.94,2090829
341.16057,5.6543,102.77,2312335
341.17584,0.8471,15.08,2137898
342.08305,1.178,21.12,2100585
342.09116,1.737,31.31,2260269
342.0983,0.5694,10.01,2454930
342.10169,0.4735,8.26,2053600
342.11944,2.8181,51.03,2322225
342.12754,3.8074,69.08,2278146
342.1347,0.5607,9.85,2525951
342.15584,0.5693,10.01,1858486
342.16393,0.9238,16.48,2256478
343.04931,0.4999,8.75,1861481
343.06707,1.4833,26.68,2140271
343.08233,1.2951,23.25,2153313
343.08569,1.5858,28.55,2124353
343.09356,0.7286,12.92,1942469
343.09539,0.6651,11.76,2030317
343.09693,0.5814,10.23,1943858
343.10346,9.7691,177.83,2305614
343.1147,0.3784,6.53,2326830
343.11871,3.0141,54.61,2204111
343.12208,0.6919,12.25,2175870
343.12281,0.5207,9.12,1832439
343.12844,0.4176,7.24,2204804
343.12995,0.7264,12.88,2677242
343.13091,0.4688,8.18,1896154
343.13176,0.4498,7.83,1951218
343.13984,7.2029,131.02,2256579
343.1551,2.7329,49.48,2157541
343.17622,0.7754,13.77,2088976
343.19147,0.7046,12.48,1818858
344.07758,0.577,10.15,2154912
344.08095,0.8021,14.26,2259306
344.08904,0.3933,6.8,1915580
344.09872,0.611,10.77,2111799
344.10681,1.7513,31.57,2261532
344.11397,1.2159,21.81,2249559
344.11732,0.4083,7.07,2679001
344.12207,0.8216,14.61,2111045
344.1252,0.5054,8.85,1208908
344.14319,1.342,24.11,2295979
344.15035,0.8055,14.32,2203976
344.15846,0.4339,7.54,2852876
345.06159,0.8891,15.85,2256526
345.06496,1.4542,26.15,2243840
345.07283,0.6474,11.44,2311910
345.07466,0.6259,11.04,1994728
345.07619,0.5521,9.7,1973445
345.08272,1.2149,21.79,2248438
345.09798,4.388,79.67,2280728
345.10134,2.2426,40.54,2290354
345.10921,1.7665,31.85,2382895
345.11104,0.8753,15.59,2078906
345.11731,0.464,8.09,1124580
345.11911,3.9794,72.22,2220611
345.13436,6.9641,126.66,2279091
345.13773,0.6051,10.66,1933542
345.1456,1.0555,18.88,2191168
345.1555,1.1155,19.98,2284538
345.17075,3.0309,54.92,2220590
345.20714,0.5052,8.84,2384805
346.06022,0.4214,7.31,1912520
346.09224,0.396,6.85,1764393
346.09322,1.9423,35.06,2179736
346.09661,0.6853,12.13,2319001
346.10133,1.0124,18.09,2219743
346.10445,0.5448,9.56,2321092
346.10579,0.4296,7.46,1983532
346.12245,0.6489,11.46,1756838
346.1296,2.1559,38.95,2059471
346.13772,1.7405,31.38,2170947
346.14085,0.647,11.43,2102213
346.16599,0.555,9.75,2582410
346.17411,0.8789,15.66,2163708
347.04422,0.419,7.27,2613121
347.07724,3.9371,71.45,2234302
347.08061,2.2045,39.84,2210748
347.08847,1.9167,34.59,2283979
347.0903,1.0437,18.67,2055885
347.09656,0.4503,7.84,1509027
347.09835,0.5098,8.93,2041196
347.10807,0.4352,7.57,2239420
347.11362,12.9684,236.19,2237957
347.117,1.6382,29.51,2261915
347.12485,3.3228,60.24,2188052
347.12669,0.5182,9.08,1695985
347.13297,0.5153,9.03,2289768
347.13475,0.7554,13.41,2046216
347.15,11.2869,205.52,2227982
347.16124,0.8803,15.68,2274075
347.18639,2.5156,45.52,2204224
348.07248,1.278,22.94,2180961
348.07585,0.4136,7.17,1752834
348.08059,0.5983,10.54,1945981
348.10887,4.1421,75.19,2220320
348.11698,2.3813,43.07,2173866
348.1201,0.9021,16.08,2481206
348.12822,0.5862,10.32,2192910
348.14525,2.2767,41.16,2235302
348.15336,2.2229,40.18,2119794
348.15649,0.5005,8.76,2499230
348.18975,0.4792,8.37,2477018
349.0565,1.2944,23.24,2265621
349.05987,0.4353,7.57,2221934
349.06774,0.7016,12.43,2215323
349.09289,11.4592,208.66,2179447
349.09626,1.3717,24.65,2077112
349.10412,4.0525,73.55,2242329
349.10596,0.3978,6.88,2585914
349.11223,0.8349,14.86,2158905
349.12928,20.8058,379.16,2166344
349.13263,0.5398,9.47,1748044
349.14051,2.6658,48.25,2195389
349.1486,0.468,8.16,2142324
349.16566,9.6568,175.79,2192868
349.20204,0.961,17.16,2169498
349.22926,0.6193,10.92,1988236
350.05985,0.4406,7.66,2228382
350.08814,3.8981,70.73,2188902
350.09625,1.9482,35.17,2251853
350.09939,0.3967,6.86,2629771
350.10749,0.6069,10.7,2256106
350.12453,5.7289,104.13,2176135
350.13263,4.2152,76.52,2168563
350.13576,0.794,14.11,1985957
350.14387,0.5314,9.32,2257461
350.16091,1.3698,24.61,2148733
350.16901,1.9058,34.39,2066106
350.31495,0.3883,6.71,979989
350.31717,0.4142,7.18,1743376
350.38377,0.3891,6.72,995299
350.42357,0.4461,7.76,2011913
350.42696,0.3954,6.84,1726784
350.42721,0.5411,9.5,1311134
350.42752,0.4837,8.45,593881
350.43085,0.5699,10.02,2145182
350.4315,0.4177,7.25,2329285
350.43237,0.4531,7.89,2162537
350.43879,0.4379,7.61,1201292
350.44075,0.4773,8.33,1242045
350.44527,0.4951,8.66,1466815
350.4473,0.4087,7.08,1746709
350.45318,0.4381,7.62,2084833
350.45583,0.3894,6.73,1979250
350.45929,0.3906,6.75,1911308
350.46084,0.5379,9.44,1129564
350.46325,0.4494,7.82,1179535
350.4637,0.3801,6.56,2842656
350.47803,0.3906,6.75,2015041
350.4793,0.4053,7.02,1529908
350.47975,0.3782,6.52,1430639
350.48067,0.4751,8.29,1124816
350.48249,0.4118,7.14,2203714
350.48289,0.4201,7.29,3648743
350.4831,0.4122,7.15,752118
350.48630000000003,0.4357,7.57,1881914
350.48882,0.4456,7.76,2467323
351.0544,0.3873,6.69,1433352
351.07216,6.1801,112.36,2150364
351.08339,1.837,33.14,2109075
351.0915,0.7098,12.57,2326365
351.10855,28.6105,521.53,2168890
351.10934,0.7456,13.23,11530
351.10972,0.808,14.37,327526
351.10989,0.7628,13.54,443288
351.11026,0.5771,10.15,215098
351.11192,0.6078,10.71,2443176
351.11977,6.0836,110.6,2168030
351.1238,0.4784,8.35,2130126
351.12788,1.2673,22.74,2125362
351.14493,24.4568,445.76,2162473
351.14543,0.3857,6.66,886426
351.14958,0.4008,6.94,476767
351.15617,1.4702,26.45,2217324
351.1602,0.4161,7.22,1742366
351.18131,5.048,91.71,2133330
351.19993,0.5983,10.54,1890118
352.0674,1.5353,27.63,2173644
352.07551,1.1841,21.23,2128442
