m/z,I,S/N,Res.
319.15509,2.0385,42.27,2539930
319.16632,0.487,10.01,2094679
320.07758,0.5397,11.11,2378908
320.0888,0.5546,11.42,2504015
320.11395,1.3858,28.7,2265975
320.12206,0.5121,10.53,2504683
320.12518,2.1148,43.86,2407562
320.15035,0.6128,12.63,2559897
321.0616,0.4629,9.51,2618956
321.07282,0.7145,14.74,2350391
321.09798,2.1438,44.46,2505629
321.10921,5.5619,115.54,2447272
321.12855,0.5701,11.74,2421051
321.13436,3.7026,76.88,2498537
321.14559,1.9127,39.66,2354647
321.17075,1.7983,37.28,2328133
322.09322,1.8727,38.83,2255714
322.10135,0.6261,12.9,2445821
322.10446,1.9454,40.34,2400011
322.11257,1.0861,22.47,2396969
322.1296,1.8263,37.86,2470034
322.13772,0.8013,16.55,2484632
322.14084,1.641,34.01,2442590
322.14895,0.3937,8.07,2531955
322.16601000000003,0.5422,11.16,2473842
322.83831,0.5225,10.75,2163855
323.07724,1.5445,32,2539571
323.08848,2.7953,58.01,2434646
323.11363,4.3392,90.12,2458931
323.12486,5.6291,116.94,2465885
323.15001,3.3647,69.85,2442759
323.16125,0.6435,13.26,1960889
323.16864,0.938,19.39,2468733
323.18639,0.7477,15.43,2277280
324.0725,0.6881,14.19,2425188
324.09184,0.4974,10.23,2268786
324.10887,2.2946,47.6,2365187
324.11698,0.7331,15.13,2416436
324.12011,1.4203,29.42,2439042
324.12822,0.8768,18.12,2412716
324.14527,1.0649,22.03,2457971
324.15336,0.5151,10.59,2461175
325.05651,0.4938,10.15,2583074
325.09289,2.9441,61.1,2338789
325.10413,3.7282,77.41,2474381
325.12928,3.9692,82.42,2459017
325.14051,1.8184,37.7,2249964
325.14454,0.4594,9.44,2489470
325.14791,0.6276,12.93,1834428
325.16566,1.4007,29.01,2250915
325.17689,0.5453,11.22,567332
325.17747,0.4144,8.5,793373
325.17998,3.583,74.39,215760
325.18242,0.4163,8.54,961545
325.18299,0.7885,16.28,474156
325.18429,54.4957,1133.08,2392983
325.18571,0.6708,13.83,276096
325.18593,0.5,10.28,408985
325.18809,0.5967,12.29,653455
326.08814,1.3564,28.09,2469564
326.09624,0.539,11.09,1817825
326.10749,0.5412,11.14,2350452
326.12452,1.4615,30.28,2331514
326.13262,0.7568,15.62,2390904
326.13576,0.5385,11.08,2442647
326.14388,0.4158,8.53,1959749
326.16091,0.4103,8.42,2350811
326.18366,0.6159,12.69,1836839
326.18764,12.1742,253.04,2416749
326.80647,0.6849,14.13,2452351
327.07216,1.5692,32.51,2356936
327.08339,0.5829,12,2379568
327.0874,0.4981,10.24,978752
327.10854,3.6712,76.22,2336403
327.11977,1.5918,32.98,2259442
327.1238,0.8764,18.11,2313343
327.13502,0.6442,13.28,1982700
327.14493,2.1104,43.77,2258937
327.16018,0.8746,18.07,2370030
327.16356,0.7521,15.52,2342705
327.18009,2.9151,60.5,2380711
327.1813,0.41,8.41,1999008
327.191,1.1579,23.96,2260089
328.10379,1.066,22.05,2201616
328.11188,0.8321,17.19,1956285
328.11905,0.5267,10.84,2396560
328.13028,0.4452,9.14,2617592
328.14016,0.4918,10.11,1518686
328.14828,0.5034,10.35,2440903
328.18343,0.6356,13.1,2409040
328.80442,1.0163,21.02,2353909
329.05144,0.4656,9.57,1831864
329.0878,1.7186,35.62,2285560
329.09096,0.4148,8.51,2395742
329.10306,0.7927,16.37,2295746
329.11429,0.9168,18.95,2154284
329.12419,1.8997,39.39,2265167
329.13944,1.4021,29.04,2312970
329.15069,0.7332,15.13,2461556
329.17584,0.8917,18.43,2138324
329.23334,1.5364,31.83,2294428
329.6573,0.5949,12.26,2208179
330.09831,0.4654,9.56,2257951
