m/z,I,S/N,Res.
317.22193,0.4832,7.45,1526206
317.22222,0.606,9.42,1756874
317.22437,0.5105,7.89,2119439
317.22557,0.4679,7.2,2379385
317.22607,0.6765,10.54,1612192
317.22847,0.5297,8.19,1825020
317.23212,0.5421,8.39,2628964
317.23244,0.5872,9.11,1964169
317.23412,0.49,7.56,2544411
317.23602,0.4906,7.57,1400967
317.23886,0.5874,9.12,2593531
317.24186,0.6045,9.39,2152514
317.24591,0.5065,7.82,2991986
317.24619,0.7958,12.45,2061013
317.24693,0.6728,10.49,2593481
317.24797,0.591,9.18,1368745
317.24966,0.5537,8.58,2645542
317.25083,0.4571,7.03,1901531
317.25184,0.6461,10.06,3004331
317.25504,0.6106,9.49,2207421
317.26453,0.4574,7.04,1685455
318.10957,0.8868,13.91,2547962
318.13473,0.7421,11.59,2513424
318.92016,0.4936,7.62,2386719
319.08235,0.7564,11.82,2487813
319.09358,1.7074,27.05,2386964
319.11873,2.3054,36.63,2331745
319.12997,1.9794,31.41,2295332
319.15512,2.456,39.04,2388143
319.16634,0.4808,7.41,2498294
319.1915,0.7981,12.49,2442956
320.0776,0.5002,7.72,2330002
320.08883,0.7349,11.48,2235027
320.11398,1.2206,19.26,2044564
320.12522,1.8064,28.64,2224671
320.13989,0.4552,7,1270458
320.15036,0.9063,14.23,2182097
320.15849,0.8054,12.61,2402987
320.1616,0.5685,8.82,2543236
320.17543,0.5239,8.1,1481721
320.17583,0.5246,8.11,1027088
320.92277,0.6127,9.52,2485242
321.06165,0.6397,9.96,1955693
321.07287,0.5546,8.59,2173153
321.09801,2.4797,39.42,2487796
321.10925,5.3691,85.69,2453271
321.1344,4.468,71.26,2455236
321.14563,1.9616,31.12,2421157
321.17078,2.4526,38.99,2423699
321.17416,5.8107,92.76,2475155
321.21055,0.6729,10.49,2188477
322.09326,1.7785,28.19,2355935
322.10137,0.4559,7.01,2283858
322.10449,1.7912,28.4,2520678
322.11259,1.1862,18.71,2657546
322.12964,1.9888,31.56,2344072
322.13775,0.9145,14.36,2441430
322.14088,1.3532,21.38,2530796
322.16603,0.5375,8.32,1603290
322.17413,0.6104,9.49,2672605
322.17751,1.2855,20.3,2298007
322.31719,0.4522,6.95,1258378
322.33881,0.4622,7.11,971951
322.83834,0.9172,14.4,2243020
322.85604,0.5082,7.85,2700384
322.87473,0.5,7.72,2229649
322.89639,0.6089,9.46,2360928
323.07727,1.493,23.62,2329558
323.08851,2.5538,40.61,2443513
323.11366,4.3935,70.07,2446527
323.12489,5.1738,82.56,2476530
323.13299,0.5975,9.28,2196863
323.15004,4.1191,65.67,2388230
323.16127,0.7608,11.89,2535564
323.16868,0.8069,12.63,1599034
323.16995,0.4563,7.02,2889832
323.18643,1.0725,16.89,2432224
323.1898,0.4623,7.11,2173841
324.07254,0.6415,9.98,2171876
324.10891,2.185,34.7,2338860
