m/z,I,S/N,Res.
342.11944,5.2623,65.56,2375033
342.12754,5.7703,71.94,2214573
342.15583,0.8328,9.92,2781141
342.16393,1.8349,22.51,2084540
342.76104,1.3765,16.75,2248291
342.80138,0.5803,6.75,2264736
342.82008,0.8574,10.23,2604942
342.88322,1.4268,17.38,2071516
343.04931,0.5228,6.03,1978380
343.05899,0.5128,5.9,2423657
343.06707,7.4088,92.52,2259719
343.08232,0.9523,11.42,2612890
343.0857,1.0875,13.12,2193909
343.08641,0.7295,8.62,2207166
343.09203,0.5846,6.8,1697555
343.09356,0.542,6.27,2611815
343.0954,1.0895,13.14,2152663
343.10345,22.2668,279.13,2290890
343.10661,0.5318,6.14,2247120
343.11469,1.4418,17.57,2169515
343.11871,2.0865,25.67,2261175
343.12208,0.4961,5.69,2798608
343.1228,1.0183,12.25,2149249
343.12842,0.7458,8.83,1851448
343.12994,0.8766,10.47,2395556
343.13984,11.9309,149.32,2287069
343.1551,2.2423,27.62,2316574
343.17622,1.3181,16.02,2678207
343.19148,0.9852,11.84,2240233
344.07042,1.1305,13.66,2439080
344.07756,0.7118,8.4,2090742
344.08094,0.8082,9.61,1889585
344.0987,2.6453,32.69,2264679
344.1068,3.8691,48.06,2217531
344.11396,1.0379,12.5,2036620
344.12207,0.6721,7.9,2214020
344.12519,0.8399,10.01,2106606
344.13508,1.2021,14.56,1932134
344.1432,2.1906,26.97,2378561
344.15035,0.856,10.21,1926940
344.75899,4.824,60.05,2343931
344.79933,1.3283,16.14,2143475
344.81801,0.5581,6.47,2111186
344.83572,1.272,15.44,2206360
345.04633,0.6535,7.67,2144050
345.06158,0.8758,10.46,2113647
345.06495,1.5088,18.41,1973243
345.0728,0.6515,7.64,2341278
345.07465,1.0325,12.43,2257096
345.07618,0.6201,7.25,2100113
345.08271,7.1601,89.39,2259996
345.09244,0.5438,6.29,2090778
345.09797,3.7567,46.65,2256286
345.10134,1.1666,14.11,2350775
345.10205,0.5868,6.83,1709863
345.1092,2.154,26.52,2229364
345.11103,1.4728,17.96,2266715
345.1191,9.4973,118.75,2243929
345.13435,6.4696,80.72,2306110
345.14559,1.4126,17.2,2299586
345.15549,2.1468,26.43,2191733
345.17074,3.8561,47.89,2241416
