m/z,I,S/N
350.33454,0.4194,5.3
350.35352,0.438,5.56
350.35548,0.4982,6.38
350.36577,0.4263,5.4
350.36613,0.4666,5.95
350.3721,0.5097,6.54
350.37324,0.4378,5.55
350.37728,0.4239,5.36
350.38512,0.4693,5.99
350.43167,0.4256,5.39
350.43967,0.4358,5.53
350.44215,0.5007,6.42
350.44299,0.4286,5.43
350.44655,0.469,5.98
350.44741,0.4983,6.38
350.44874,0.4608,5.87
350.46151,0.5393,6.95
350.46199,0.4702,6
350.95088,0.4478,5.69
351.07215,7.778,106.35
351.08338,4.8814,66.58
351.0915,0.8183,10.78
351.10854,33.3473,457.49
351.11977,9.7111,132.9
351.12787,1.2268,16.39
351.13351,0.4901,6.27
351.13596,0.5027,6.44
351.1432,0.5336,6.87
351.14347,0.5874,7.61
351.14492,34.9717,479.79
351.15616,2.1338,28.84
351.16425,0.5239,6.74
351.18131,8.0635,110.27
351.21769,0.6785,8.86
351.22107,0.7669,10.07
352.0674,2.9399,39.91
352.0755,1.5082,20.25
352.08673,0.79990000000000006,10.53
352.10378,9.7251,133.09
352.11189,6.5953,90.11
352.11502,2.3002,31.13
352.12313,1.9223,25.94
352.14017,5.8053,79.26
352.14828,7.0636,96.54
352.1514,0.7317,9.59
352.15951,0.4671,5.96
352.17655,0.8702,11.49
352.18466,1.8665,25.17
352.84887,0.4601,5.86
352.8582,0.5039,6.46
353.05143,2.509,34
353.06265,0.7865,10.34
353.07005,0.6056,7.86
353.07076,0.6844,8.94
353.07976,0.4374,5.55
353.08781,25.6467,351.74
353.09703,0.6011,7.8
353.09904,9.357,128.04
353.10715,1.7997,24.26
353.11279,0.6424,8.36
353.11526,0.8425,11.11
353.11613,0.5219,6.71
353.11919,1.507,20.24
353.11943,1.493,20.04
353.1225,0.9836,13.05
353.12271,1.0111,13.43
353.12298,0.8052,10.6
353.1242,47.9408,657.89
353.12606,1.5236,20.46
353.12644,1.3403,17.95
353.12931,0.7781,10.23
353.13377,0.4255,5.38
353.13543,5.7629,78.68
353.13945,0.9794,12.99
353.14353,1.1691,15.6
353.1492,0.5879,7.61
353.15164,0.8998,11.9
353.16058,24.5858,337.17
353.17181,0.4666,5.95
353.17582,0.4878,6.24
353.19697,2.8184,38.25
354.04666,0.4935,6.32
354.0548,0.5449,7.02
354.08306,7.253,99.14
354.09116,4.4331,60.42
354.09429,0.6847,8.94
354.1024,1.4557,19.53
354.11944,8.6853,118.81
354.12755,9.1378,125.03
354.13068,1.1997,16.02
354.13878,1.0332,13.73
354.15582,2.3468,31.77
354.16393,4.7049,64.15
354.20032,0.5679,7.34
355.06708,7.568,103.47
355.0783,1.2638,16.9
355.08231,0.6088,7.9
355.0857,0.9972,13.24
355.08641,0.9928,13.18
355.09206,0.4581,5.83
355.0945,0.4489,5.71
355.09539,0.8378,11.05
355.09893,0.4177,5.28
355.10162,0.6302,8.2
355.10216,0.6048,7.85
355.10346,31.5873,433.32
355.11469,4.9255,67.18
355.11872,1.1257,15
355.1228,1.5326,20.59
355.12844,0.9268,12.27
355.13091,0.6571,8.57
355.13178,0.6548,8.53
355.13808,0.4877,6.24
355.13835,0.5035,6.46
355.13985,26.5503,364.14
355.15107,1.0294,13.68
355.15511,2.2546,30.5
355.15847,0.4491,5.71
355.15918,0.5206,6.69
355.16481,0.4604,5.86
355.17623,5.9318,81
355.19149,0.5237,6.73
356.06233,0.8345,11
356.07043,1.2279,16.4
356.08095,0.7061,9.24
356.09871,5.2461,71.58
356.10682,4.8648,66.35
356.11397,0.6806,8.89
356.11805,0.7247,9.49
356.1351,2.5786,34.95
356.1432,4.5235,61.66
356.15845,0.4843,6.19
356.1616,0.4468,5.68
356.17958,0.9634,12.77
356.79538,1.0725,14.27
357.04634,0.8743,11.55
357.06159,0.5005,6.41
357.06497,0.8227,10.84
357.07466,0.9037,11.95
357.07621,0.532,6.85
357.08273,9.4064,128.71
357.08589,0.4132,5.22
357.09396,0.7863,10.34
357.09798,1.5374,20.65
357.10136,1.2406,16.58
357.10206,0.7997,10.52
357.10771,0.598,7.75
357.10922,0.9346,12.38
357.11104,1.4187,19.02
357.11911,16.7933,230.16
357.13034,1.1998,16.02
357.13437,2.5274,34.25
357.13846,0.4367,5.54
357.14411,0.5395,6.95
357.14559,0.5981,7.75
357.14742,0.7136,9.34
357.1555,6.0532,82.67
357.17075,1.7055,22.96
357.19189,0.6417,8.35
357.20713,0.4886,6.25
358.07797,0.9876,13.1
358.08609,1.4562,19.54
358.09323,0.6228,8.09
358.09658,0.534,6.87
358.10447,0.6051,7.85
358.10629,0.4368,5.54
358.11437,2.0313,27.44
358.12247,3.1424,42.69
358.12961,0.8233,10.85
358.13772,0.5659,7.31
358.14085,0.7694,10.11
358.15074,0.4372,5.55
358.15885,1.2983,17.37
358.16599,0.4583,5.83
358.17412,0.4519,5.75
358.79334,1.0763,14.32
358.815,0.6863,8.97
359.06199,1.1179,14.89
359.07725,1.6486,22.18
359.08061,1.6326,21.96
359.08848,0.8234,10.85
359.09031,1.4993,20.13
359.09184,0.6478,8.44
359.09837,6.195,84.61
359.10153,0.6487,8.45
359.10961,0.4672,5.96
359.11363,5.2972,72.29
359.11701,1.1151,14.86
359.12334,0.5403,6.96
359.12486,2.0459,27.64
359.12669,1.3779,18.46
359.13476000000003,4.86,66.28
359.15001,6.2938,85.97
359.16124,0.5986,7.76
359.17115,0.7625,10.01
359.18641,2.2991,31.11
360.07248,0.8139,10.72
360.07587,0.6343,8.25
360.09363,0.578,7.48
360.10173,1.0057,13.35
360.10888,1.9706,26.6
360.11699,1.0109,13.42
360.12012,1.7015,22.91
360.13003,0.5694,7.36
360.13812,1.0981,14.62
360.14526,1.5965,21.47
360.15337,1.3605,18.22
360.1565,0.9922,13.17
360.18165,0.543,7
360.18975,0.426,5.39
361.05651,1.0014,13.29
361.05987,1.0207,13.56
361.06774,0.748,9.81
361.06957,0.6331,8.24
361.07764,0.7115,9.31
361.09054,0.5373,6.92
361.09289,6.9002,94.3
361.09627,1.8725,25.26
361.10412,3.6339,49.44
361.10596,1.7056,22.96
361.11224,0.428,5.42
361.11401,1.9334,26.09
361.1172,0.485,6.2
361.12928,15.9344,218.36
361.14051,2.9555,40.13
361.14233,0.6917,9.04
361.15041,0.6988,9.14
361.16566,10.6554,145.87
361.17689,0.5374,6.92
361.20204,1.8502,24.95
361.22318,0.9424,12.48
362.08814,2.5861,35.06
362.09149,0.4461,5.67
362.09625,1.4252,19.11
362.09937,1.5455,20.77
362.10748,0.8547,11.28
362.12452,4.2584,58.02
362.13263,3.3243,45.19
362.13575,2.331,31.55
362.14388,0.6032,7.82
362.16091,1.8524,24.98
362.16901,2.17,29.34
362.17215,0.4575,5.82
362.20541,0.5661,7.32
362.96969,1.5226,20.45
363.07216,4.7876,65.29
363.07553,0.7695,10.11
363.08339,3.2169,43.72
363.08522,0.6567,8.56
