mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
6464,C24H23O10Cl,HCOCl,24,23,10,0,1,506.0979746,505.09069813312,3.4,6.8,0.5,3,4,0,0,2.17568567569833,1.17745298455124,0.829823613166809,1.27636238280684,1.68765586602967,0.756293038467356,0.0323271039446612
6466,C28H23O7Cl,HCOCl,28,23,7,0,1,506.1132308,505.10595433312,2.2,6.8,0.323529411764706,2,2,0,0,1.66109264630359,0.900156723349628,0.757231950759888,1.01414803043008,1.73983878677245,0.582897701867774,0.514132688567963
6468,C21H27O12Cl,HCOCl,21,27,12,0,1,506.119104,505.11182753312,4.1,6.9,0.594202898550725,4,1,1,0,0.442617312888615,0.250837910476051,0.195239841938019,1.55497822072357,1.69524284743238,0.917259862254391,-0.076016713500105
6469,C26H28O6Cl2,HCOCl,26,28,6,0,2,506.126294,505.11901753312,2.4,8.2,0.292682926829268,2,4,1,0,2.16624602489173,1.20949213751098,0.967940151691437,1.10237299650908,2.26834643352777,0.4859808802638,-0.637601862641176
6470,C25H27O9Cl,HCOCl,25,27,9,0,1,506.1343601,505.12708363312,2.5,6.8,0.36764705882353,2,5,0,1,2.07960501383059,1.22821413959569,0.930697321891785,1.27692688093521,1.69622776564211,0.752803902164534,-0.00722079469181928
6473,C22H31O11Cl,HCOCl,22,31,11,0,1,506.1554895,505.14821303312,3.2,6.8,0.470588235294118,3,2,0,0,0.497356245061383,0.337302521713325,0.313820004463196,1.5579037964344,1.70178635697812,0.915452042523593,-0.056182960021866
6474,C33H27O3Cl,HCOCl,33,27,3,0,1,506.1648724,505.15759593312,4.4,6.8,0.647058823529412,4,4,0,0,1.45262426882982,0.913449941044824,0.840331792831421,1.7470158811193,1.88633370352909,0.926143596888956,0.000284129101174707
6475,C26H31O8Cl,HCOCl,26,31,8,0,1,506.1707456,505.16346913312,3.5,7,0.5,3,5,0,1,2.04958581714891,1.22881106819486,0.954241573810577,1.66019317146856,1.76685904723126,0.939629663198176,-0.0636874159106574
6477,C23H35O10Cl,HCOCl,23,35,10,0,1,506.191875,505.18459853312,3.1,6.9,0.449275362318841,3,1,0,0,0.503168793162331,0.37439700833726,0.36224764585495,1.56871949136257,1.71839980955701,0.912895522123558,-0.0561664428888646
6496,C27H18O6Cl2,HCOCl,27,18,6,0,2,508.0480437,507.04076723312,2,8.2,0.24390243902439,2,0,0,0,2.50064606778324,1.26375431187465,0.99579656124115,1.00420343084261,2.25654543703422,0.445018041454744,0.589672269501192
6501,C27H21O8Cl,HCOCl,27,21,8,0,1,508.0924953,507.08521883312,2.2,6.8,0.323529411764706,2,2,0,0,1.73710085172206,1.08266115336389,0.986862540245056,1.01313745975494,1.72535168239847,0.587206347604767,0.220848516927283
6504,C31H21O5Cl,HCOCl,31,21,5,0,1,508.1077515,507.10047503312,4.3,6.8,0.632352941176471,4,3,0,0,1.5147390216589,1.00852623335367,0.941559851169586,1.34945674042683,1.85080776480027,0.729117721511429,0.441512147974533
6505,C24H25O10Cl,HCOCl,24,25,10,0,1,508.1136247,507.10634823312,3.5,6.8,0.514705882352941,3,5,0,0,2.11356438871007,1.22854215175713,0.921758592128754,1.27659240993671,1.68788589315955,0.756326251146672,-0.0591650612990404
6508,C28H25O7Cl,HCOCl,28,25,7,0,1,508.1288808,507.12160433312,2.2,6.8,0.323529411764706,2,2,0,0,1.0934874227969,0.749180045649056,0.678209006786346,1.31995779275894,1.79383959702682,0.735828217275777,0.185373459255936
6509,C21H29O12Cl,HCOCl,21,29,12,0,1,508.134754,507.12747753312,4.1,6.9,0.594202898550725,4,1,0,0,1.59286931238603,1.06799803000019,0.992109894752502,1.55497822072357,1.6954728733981,0.917135416980779,-0.0952932964139964
6511,C32H25O4Cl,HCOCl,32,25,4,0,1,508.144137,507.13686053312,2.2,6.7,0.328358208955224,2,2,0,0,1.74964531697333,1.02454086767952,0.90116274356842,1.00200789794326,1.79737200774252,0.557484980085879,0.0790861151588017
6512,C25H29O9Cl,HCOCl,25,29,9,0,1,508.1500102,507.14273373312,3.6,6.8,0.529411764705882,3,6,0,0,2.02891179989092,1.20629101745877,0.912426352500916,1.64727529720403,1.75004672026262,0.941275040335402,-0.0635218723916529
6515,C26H33O8Cl,HCOCl,26,33,8,0,1,508.1863957,507.17911923312,3.4,7,0.485714285714286,3,4,0,0,1.99504628567956,1.18863473288957,0.902868330478668,1.66048788465559,1.7671537604183,0.939639731328499,-0.0591317288412435
